"pmid","title","abstract","journal","authors","mesh","pub_date"
34878743,"COVID-19, anticoagulation and venous thromboembolism: what have we learned ?","Severe COVID-19 is associated with venous thromboembolic events and and immuno-thrombotic phenomena, responsible for pulmonary vascular damage. This review summarizes the current knowledge on thrombotic risk in COVID-19 inpatients, the potential predictive factors (including D-dimer) and the randomized trials studying the effect of intermediate or therapeutic-dose anticoagulation on the clinical and thrombotic prognosis. Despite the initial hope, therapeutic anticoagulation does not improve the clinical prognosis in critically ill inpatients, and standard prophylactic anticoagulation is therefore recommended. In non-critical inpatients, the use of therapeutic anticoagulation may help reduce the risk of severe clinical deterioration, but its risk-benefit will be clarified in ongoing studies and meta-analyzes.","Revue medicale suisse","{""Blondon, Marc"",""Robert-Ebadi, Helia""}","{N/A}","2021-12"
34878744,"Preoperative rehabilitation before lower limb arthroplasty : Knowledge and perspectives].","The shortening of hospital stays implies rethinking the pre- and post-operative management of lower limb arthroplasty. Optimal preparation of the patient and anticipation of the postoperative process are necessary to limit the length of stay and ensure quality, safety and patient satisfaction. This article summarises what is known about preoperative information, education and rehabilitation for primary care physicians. Physical rehabilitation is not recommended in isolation. However, patient-centred information and education is recommended for those at risk of complicated postoperative outcomes. Interdisciplinary collaboration is needed to coordinate the whole process effectively in a context of shortened lengths of stay.","Revue medicale suisse","{""Philippossian, Robin"",""Luthi, François"",""Pichonnaz, Claude""}","{N/A}","2021-12"
34878745,"N/A","N/A","Revue medicale suisse","{""Graenicher, Adriana"",""Teicher, Samuel"",""Kherad, Omar""}","{N/A}","2021-12"
34878746,"N/A","N/A","Revue medicale suisse","{""Luthy, Christophe""}","{N/A}","2021-12"
34878747,"N/A","N/A","Revue medicale suisse","{""Meylan, Pascal""}","{N/A}","2021-12"
34878748,"N/A","N/A","Revue medicale suisse","{""Zurita, Santiago""}","{N/A}","2021-12"
34878749,"N/A","N/A","Revue medicale suisse","{""Martin, Jean""}","{N/A}","2021-12"
34878753,"ACE inhibitor or ARB treatment among patients with diabetes and chronic kidney disease.","Many patients with type 2 diabetes (T2D) and chronic kidney disease (CKD) experience a delay in treatment or fail to initiate treatment with guideline-recommended angiotensin-converting enzyme inhibitors (ACEis) or angiotensin receptor blockers (ARBs) after CKD diagnosis. This study aimed to describe treatment patterns and treatment initiation after initial CKD diagnosis among patients with T2D. Retrospective analysis using data from the Optum Clinformatics Data Mart administrative claims database (January 2014-September 2018). Adult patients with T2D entered the cohort if they met the criteria for CKD, defined as 2 laboratory test results 90 to 365 days apart (January 2014-September 2017) indicating CKD. Included were patients with no prior use of ACEis or ARBs or evidence of kidney disease in the 365 days prior to cohort entry (baseline). Patients were followed for a maximum of 365 days and were censored on death, disenrollment, or end of data. Patient demographics, comorbidities, and medication use were assessed at baseline, and treatments were assessed over a 1-year followup period. Multivariate logistic regression was used to identify factors associated with ACEi or ARB initiation. Among 15,400 eligible patients without prior ACEi or ARB treatment, only 17% initiated such therapy within a year after meeting CKD criteria. Patients who were White, resided in the northeastern United States, had more comorbidities, had less advanced albuminuria, or used sodium-glucose cotransporter 2 inhibitors were less likely to initiatetreatment. A large proportion of patients with T2D meeting criteria for CKD do not initiate the recommended therapy within 1 year of CKD diagnosis, highlighting a need for new therapies that can slow the progression of CKD.","The American journal of managed care","{""Fried, Linda F"",""Petruski-Ivleva, Natalia"",""Folkerts, Kerstin"",""Schmedt, Niklas"",""Velentgas, Priscilla"",""Kovesdy, Csaba P""}","{N/A}","2021-12"
34878754,"Medical costs for managing chronic kidney disease and related complications in patients with chronic kidney disease and type 2 diabetes.","To provide cost estimates for chronic kidney disease (CKD) management and major CKD complications among patients with CKD and type 2 diabetes (T2D). A retrospective cohort study of 52,599 adults with CKD and T2D using Optum Clinformatics claims data from 2014 to 2019. Medical costs associated with CKD management, renal replacement therapies (RRTs), major CKD complications (eg, myocardial infarction, stroke, heart failure, atrial fibrillation, and hyperkalemia), and death were estimated using generalized estimating equations adjusting for baseline demographics, complications, and medical costs. Costs for CKD management, RRT, and major CKD complications were assessed in 4-month cycles. Mortality costs were assessed in the month before death. The estimated 4-month CKD management costs ranged from $7725 for stage I to II disease to $11,879 for stage V (without RRT), with high additional costs for dialysis and kidney transplantation ($87,538and $124,271, respectively). The acute event costs were $31,063 for heart failure, $21,087 for stroke, and $21,016 for myocardial infarction in the first 4 months after the incident event, which all decreased substantially in subsequent 4-month cycles. The acute event costs of atrial fibrillation and hyperkalemia were $30,500 and $31,212 with hospitalization, and $5162 and $1782 without. The costs associated with cardiovascular-related death, renal-related death, and death from other causes were $17,031, $12,605, and $9900, respectively. Management of CKD and its complications incurs high medical costs for patients with CKD and T2D. Results from this study can be used to quantify the economic profile of emerging treatments and inform decision-making.","The American journal of managed care","{""Betts, Keith A"",""Song, Jinlin"",""Faust, Elizabeth"",""Yang, Karen"",""Du, Yuxian"",""Kong, Sheldon X"",""Singh, Rakesh""}","{N/A}","2021-12"
34878755,"FINE-CKD model to evaluate economic value of finerenone in patients with chronic kidney disease and type 2 diabetes.","Chronic kidney disease (CKD) is a progressive and irreversible disease often associated with type 2 diabetes (T2D). CKD is associated with an elevated risk of cardiovascular (CV) events, increased mortality, and diminished quality of life. Finerenone is a new treatment for patients with CKD and T2D that delays CKD progression and reduces CVcomplications. To describe the approach and structure of a costeffectiveness model for finerenone for patients with CKD and T2D and compare it with existing economic models in CKD. A de novo cost-effectiveness model (FINE-CKD model), reflective of FIDELIO-DKD results, was developed for finerenone. The FINE-CKD model was designed and implemented in accordance with published guidance on modeling and was developed with input from economic and clinical experts. The final model approach was evaluated against existing modeling structures in CKD identified through a systematic literature review. The FINE-CKD model structure follows recommended modeling guidelines and has been designed in accordance with the best practices of modeling in CKD, while also incorporating important features of the FIDELIO-DKD design and results. The approach is consistent with the published literature, ensuring transparency and minimizing uncertainty that can arise from unnecessary complexity. The FINE-CKD model allows for reliable assessment of benefits and costs related to the use of finerenone in patients with CKD and T2D, and it is a reliable assessment of cost-effectiveness.","The American journal of managed care","{""Pochopień, Michał T"",""Cherney, David Z I"",""Folkerts, Kerstin"",""Levy, Pierre"",""Millier, Aurélie"",""Morris, Stephen"",""Roy-Chaudhury, Prabir"",""Sullivan, Sean D"",""Mernagh, Paul""}","{N/A}","2021-12"
34776641,"N/A","N/A","Tijdschrift voor bedrijfs- en verzekeringsgeneeskunde","{""Sorgdrager, Bas"",""Maas, Jaap""}","{N/A}","2021-0"
34878756,"Comment on Ultrarapid On-Site Detection of SARS-CoV-2 Infection Using Simple ATR-FTIR Spectroscopy and an Analysis Algorithm: High Sensitivity and Specificity.","N/A","Analytical chemistry","{""Wood, Bayden R"",""Bedolla, Diana E"",""Kochan, Kamila"",""Godfrey, Dale I"",""Purcell, Damian F J"",""Heraud, Philip""}","{N/A}","2021-12"
